components,difference,q
5174,5174,0.000000
5174,0,0.050000
5176,2,0.100000
5179,3,0.150000
5180,1,0.200000
5183,3,0.250000
5185,2,0.300000
5181,-4,0.350000
5186,5,0.400000
5195,9,0.450000
5192,-3,0.500000
5204,12,0.550000
5205,1,0.600000
5212,7,0.650000
5228,16,0.700000
5226,-2,0.750000
5258,32,0.800000
5265,7,0.850000
5332,67,0.900000
5446,114,0.950000
10000,4554,1.000000
5062,5062,0.000000
5064,2,0.050000
5066,2,0.100000
5070,4,0.150000
5072,2,0.200000
5072,0,0.250000
5079,7,0.300000
5085,6,0.350000
5086,1,0.400000
5090,4,0.450000
5100,10,0.500000
5107,7,0.550000
5112,5,0.600000
5119,7,0.650000
5134,15,0.700000
5161,27,0.750000
5190,29,0.800000
5202,12,0.850000
5263,61,0.900000
5391,128,0.950000
10000,4609,1.000000
5127,5127,0.000000
5131,4,0.050000
5134,3,0.100000
5140,6,0.150000
5139,-1,0.200000
5147,8,0.250000
5143,-4,0.300000
5149,6,0.350000
5159,10,0.400000
5169,10,0.450000
5158,-11,0.500000
5176,18,0.550000
5188,12,0.600000
5195,7,0.650000
5218,23,0.700000
5235,17,0.750000
5261,26,0.800000
5277,16,0.850000
5327,50,0.900000
5468,141,0.950000
10000,4532,1.000000
5074,5074,0.000000
5075,1,0.050000
5075,0,0.100000
5074,-1,0.150000
5078,4,0.200000
5076,-2,0.250000
5078,2,0.300000
5081,3,0.350000
5085,4,0.400000
5094,9,0.450000
5099,5,0.500000
5095,-4,0.550000
5103,8,0.600000
5112,9,0.650000
5128,16,0.700000
5139,11,0.750000
5170,31,0.800000
5196,26,0.850000
5260,64,0.900000
5368,108,0.950000
10000,4632,1.000000
5061,5061,0.000000
5061,0,0.050000
5063,2,0.100000
5063,0,0.150000
5068,5,0.200000
5070,2,0.250000
5067,-3,0.300000
5071,4,0.350000
5072,1,0.400000
5077,5,0.450000
5084,7,0.500000
5080,-4,0.550000
5094,14,0.600000
5093,-1,0.650000
5099,6,0.700000
5110,11,0.750000
5129,19,0.800000
5142,13,0.850000
5196,54,0.900000
5303,107,0.950000
10000,4697,1.000000
5111,5111,0.000000
5111,0,0.050000
5113,2,0.100000
5113,0,0.150000
5117,4,0.200000
5122,5,0.250000
5128,6,0.300000
5119,-9,0.350000
5135,16,0.400000
5130,-5,0.450000
5136,6,0.500000
5148,12,0.550000
5148,0,0.600000
5162,14,0.650000
5183,21,0.700000
5184,1,0.750000
5205,21,0.800000
5227,22,0.850000
5291,64,0.900000
5420,129,0.950000
10000,4580,1.000000
4997,4997,0.000000
5001,4,0.050000
5008,7,0.100000
5006,-2,0.150000
5009,3,0.200000
5010,1,0.250000
5021,11,0.300000
5026,5,0.350000
5028,2,0.400000
5020,-8,0.450000
5037,17,0.500000
5034,-3,0.550000
5045,11,0.600000
5058,13,0.650000
5076,18,0.700000
5074,-2,0.750000
5095,21,0.800000
5128,33,0.850000
5178,50,0.900000
5294,116,0.950000
10000,4706,1.000000
5111,5111,0.000000
5114,3,0.050000
5113,-1,0.100000
5115,2,0.150000
5120,5,0.200000
5122,2,0.250000
