components,difference,q
1,1,0.000000
228,227,0.050000
1195,967,0.100000
4999,3804,0.150000
14706,9707,0.200000
35235,20529,0.250000
74011,38776,0.300000
140859,66848,0.350000
254931,114072,0.400000
437689,182758,0.450000
659379,221690,0.500000
875105,215726,0.550000
1061867,186762,0.600000
1202997,141130,0.650000
1281805,78808,0.700000
1289528,7723,0.750000
1216840,-72688,0.800000
1053784,-163056,0.850000
800677,-253107,0.900000
449414,-351263,0.950000
0,-449414,1.000000
1,1,0.000000
213,212,0.050000
1230,1017,0.100000
5001,3771,0.150000
14850,9849,0.200000
35001,20151,0.250000
73666,38665,0.300000
139663,65997,0.350000
255195,115532,0.400000
440908,185713,0.450000
660603,219695,0.500000
875190,214587,0.550000
1063370,188180,0.600000
1202936,139566,0.650000
1280309,77373,0.700000
1288402,8093,0.750000
1216207,-72195,0.800000
1055697,-160510,0.850000
800796,-254901,0.900000
451282,-349514,0.950000
0,-451282,1.000000
1,1,0.000000
199,198,0.050000
1193,994,0.100000
4961,3768,0.150000
14685,9724,0.200000
35391,20706,0.250000
74388,38997,0.300000
140834,66446,0.350000
255627,114793,0.400000
441984,186357,0.450000
660025,218041,0.500000
874620,214595,0.550000
1063402,188782,0.600000
1202664,139262,0.650000
1281826,79162,0.700000
1291010,9184,0.750000
1215380,-75630,0.800000
1055697,-159683,0.850000
799875,-255822,0.900000
450228,-349647,0.950000
0,-450228,1.000000
1,1,0.000000
204,203,0.050000
1302,1098,0.100000
5005,3703,0.150000
14743,9738,0.200000
35352,20609,0.250000
73174,37822,0.300000
141326,68152,0.350000
255163,113837,0.400000
439770,184607,0.450000
658552,218782,0.500000
875264,216712,0.550000
1061307,186043,0.600000
1202588,141281,0.650000
1281298,78710,0.700000
1289492,8194,0.750000
1215674,-73818,0.800000
1055031,-160643,0.850000
799731,-255300,0.900000
449489,-350242,0.950000
0,-449489,1.000000
1,1,0.000000
203,202,0.050000
1206,1003,0.100000
5161,3955,0.150000
14833,9672,0.200000
35370,20537,0.250000
73204,37834,0.300000
140399,67195,0.350000
255796,115397,0.400000
439630,183834,0.450000
658302,218672,0.500000
875389,217087,0.550000
1060950,185561,0.600000
1202318,141368,0.650000
1281706,79388,0.700000
1289125,7419,0.750000
1215162,-73963,0.800000
1055328,-159834,0.850000
801797,-253531,0.900000
450196,-351601,0.950000
0,-450196,1.000000
1,1,0.000000
238,237,0.050000
1119,881,0.100000
5041,3922,0.150000
14616,9575,0.200000
35281,20665,0.250000
74155,38874,0.300000
140437,66282,0.350000
255504,115067,0.400000
439879,184375,0.450000
658326,218447,0.500000
875802,217476,0.550000
1062592,186790,0.600000
1202541,139949,0.650000
1282002,79461,0.700000
1288630,6628,0.750000
