components,difference,q
1,1,0.000000
87,86,0.050000
995,908,0.100000
4782,3787,0.150000
14399,9617,0.200000
34883,20484,0.250000
73274,38391,0.300000
140452,67178,0.350000
254666,114214,0.400000
438466,183800,0.450000
660155,221689,0.500000
874091,213936,0.550000
1061355,187264,0.600000
1202841,141486,0.650000
1281912,79071,0.700000
1288855,6943,0.750000
1214958,-73897,0.800000
1053983,-160975,0.850000
800799,-253184,0.900000
448977,-351822,0.950000
0,-448977,1.000000
1,1,0.000000
86,85,0.050000
941,855,0.100000
4744,3803,0.150000
14197,9453,0.200000
34850,20653,0.250000
73575,38725,0.300000
139682,66107,0.350000
255368,115686,0.400000
439738,184370,0.450000
659279,219541,0.500000
875368,216089,0.550000
1061803,186435,0.600000
1201579,139776,0.650000
1281587,80008,0.700000
1288602,7015,0.750000
1215804,-72798,0.800000
1055046,-160758,0.850000
800928,-254118,0.900000
451208,-349720,0.950000
0,-451208,1.000000
1,1,0.000000
78,77,0.050000
1006,928,0.100000
4555,3549,0.150000
14499,9944,0.200000
34899,20400,0.250000
73210,38311,0.300000
140512,67302,0.350000
255932,115420,0.400000
440764,184832,0.450000
660714,219950,0.500000
875154,214440,0.550000
1063059,187905,0.600000
1203433,140374,0.650000
1280737,77304,0.700000
1290409,9672,0.750000
1214468,-75941,0.800000
1055768,-158700,0.850000
799915,-255853,0.900000
450077,-349838,0.950000
0,-450077,1.000000
1,1,0.000000
78,77,0.050000
984,906,0.100000
4602,3618,0.150000
14413,9811,0.200000
35045,20632,0.250000
73477,38432,0.300000
140463,66986,0.350000
255057,114594,0.400000
439838,184781,0.450000
658559,218721,0.500000
875353,216794,0.550000
1062622,187269,0.600000
1202126,139504,0.650000
1281840,79714,0.700000
1289230,7390,0.750000
1215834,-73396,0.800000
1055323,-160511,0.850000
800181,-255142,0.900000
449252,-350929,0.950000
0,-449252,1.000000
1,1,0.000000
65,64,0.050000
913,848,0.100000
4564,3651,0.150000
14343,9779,0.200000
34550,20207,0.250000
73560,39010,0.300000
140142,66582,0.350000
255230,115088,0.400000
438622,183392,0.450000
658019,219397,0.500000
875568,217549,0.550000
1061153,185585,0.600000
1200304,139151,0.650000
1282258,81954,0.700000
1288991,6733,0.750000
1214834,-74157,0.800000
1054505,-160329,0.850000
801802,-252703,0.900000
450000,-351802,0.950000
0,-450000,1.000000
1,1,0.000000
71,70,0.050000
965,894,0.100000
4754,3789,0.150000
14089,9335,0.200000
35019,20930,0.250000
73349,38330,0.300000
140353,67004,0.350000
256039,115686,0.400000
439469,183430,0.450000
658127,218658,0.500000
875829,217702,0.550000
1060632,184803,0.600000
1203414,142782,0.650000
1282204,78790,0.700000
1288453,6249,0.750000
1215533,-72920,0.800000
1054783,-160750,0.850000
801055,-253728,0.900000
449045,-352010,0.950000
0,-449045,1.000000
1,1,0.000000
78,77,0.050000
1018,940,0.100000
4717,3699,0.150000
14301,9584,0.200000
34878,20577,0.250000
73103,38225,0.300000
140430,67327,0.350000
255350,114920,0.400000
440658,185308,0.450000
660934,220276,0.500000
877363,216429,0.550000
1062437,185074,0.600000
1202963,140526,0.650000
1282329,79366,0.700000
1288737,6408,0.750000
1216437,-72300,0.800000
1053487,-162950,0.850000
801840,-251647,0.900000
450023,-351817,0.950000
0,-450023,1.000000
1,1,0.000000
70,69,0.050000
997,927,0.100000
4409,3412,0.150000
14176,9767,0.200000
35004,20828,0.250000
73214,38210,0.300000
140283,67069,0.350000
254346,114063,0.400000
438931,184585,0.450000
659014,220083,0.500000
873962,214948,0.550000
1061888,187926,0.600000
1202349,140461,0.650000
1283338,80989,0.700000
1290020,6682,0.750000
1215280,-74740,0.800000
1055835,-159445,0.850000
801417,-254418,0.900000
449422,-351995,0.950000
0,-449422,1.000000
1,1,0.000000
66,65,0.050000
1008,942,0.100000
4697,3689,0.150000
14518,9821,0.200000
35068,20550,0.250000
73662,38594,0.300000
140335,66673,0.350000
256366,116031,0.400000
441261,184895,0.450000
660631,219370,0.500000
874249,213618,0.550000
1063042,188793,0.600000
1202196,139154,0.650000
1281314,79118,0.700000
1291265,9951,0.750000
1216748,-74517,0.800000
1053427,-163321,0.850000
801211,-252216,0.900000
451156,-350055,0.950000
0,-451156,1.000000
1,1,0.000000
67,66,0.050000
949,882,0.100000
4604,3655,0.150000
14356,9752,0.200000
34774,20418,0.250000
73507,38733,0.300000
140111,66604,0.350000
255331,115220,0.400000
439043,183712,0.450000
658971,219928,0.500000
875407,216436,0.550000
1060401,184994,0.600000
1202038,141637,0.650000
1281750,79712,0.700000
1290252,8502,0.750000
1215673,-74579,0.800000
1055986,-159687,0.850000
801115,-254871,0.900000
450396,-350719,0.950000
0,-450396,1.000000
1,1,0.000000
70,69,0.050000
910,840,0.100000
4680,3770,0.150000
14613,9933,0.200000
34941,20328,0.250000
73420,38479,0.300000
140605,67185,0.350000
255470,114865,0.400000
440867,185397,0.450000
658230,217363,0.500000
874228,215998,0.550000
1060098,185870,0.600000
1203786,143688,0.650000
1281209,77423,0.700000
1289401,8192,0.750000
1216052,-73349,0.800000
1054524,-161528,0.850000
799657,-254867,0.900000
449149,-350508,0.950000
0,-449149,1.000000
1,1,0.000000
56,55,0.050000
947,891,0.100000
4516,3569,0.150000
14532,10016,0.200000
34870,20338,0.250000
73195,38325,0.300000
